영화평점,영화감상평
10,후기 되게 안 좋길래 걱정 하면서 봤는데 역시 마블은 마블이다 .... 개재밋어여 ㅠㅠㅠㅠ
10,배우들 연기도 너무 좋고 나는 연출도 좋았음!2시간 순삭 꿀잼!
10,저는 매우 재미있었습니다.
10,개존잼내스탈임내스탈임진짜진짜
8,호러영화 연출이 많으니 깜놀주의
10,스파이더맨보다 훨 재밌다
10,전 너무 재밌었어요!! 별로란 평이 많아서 의리로 보긴 햇는데 기대 이상 이였음 !!!
1,배가 아팠는데 쿠키영상땜에 화장실 못 감
10,완다가 다 했어요나는 한번더볼겁니다완다를 한번더 보고싶어요
2,씹너잼 스토리 그냥 공포영화인줄 개 깜짝놀람
10,멀티버스라 정신없는데 나름 엄청 재미나게봄!마블 골수팬이라면 재미있을거임
4,너무 시끄럽고 12세 라기엔 좀 아닌 것 같음
10,유치? 스토리? ㅈㄴ 재밌구만..ㅋ 다만 완다 스토리 공부만 좀 하고가면 개꿀잼임
1,장난 똥때리나어처구니가 없네
10,아니 완더비전 서사 미리 보지도 않고 영화보러와서 이해안간다는둥 재미없다는둥 개소리좀 하지마라 유툽에 다 요약본있으니 좀 20분정도 투자하고 요약본보고 봐라 그럼 재미없단생각 일도 안드니!!!!으휴
9,재밌는데 별점왜저래~~~ㅋㅋㅋ
10,재밌었습니다
8,인피니티워랑 엔드게임이 눈을 너무 높여놨음 분명 아쉬운점은 있지만 그냥저냥 무난함
8,믿고 보는 마블!!! 쿠키영상은 2개입니다.
1,"항상 믿고 보는 마블 영화였는데, 후회 제대로 함. 아무리 상업 영화라도 이건 아니지."
6,갑자기 완다비전이 내용에 주류를 이루면서 완다비전을 보지 않은 나로써는 1편 이후 이야기를 생각했으나 갑툭튀에 몰입도가크게 떨어지는 스토리다
10,개꿀잼ㄲㄲㄲㄲ겨겨어터터터ㅓ
1,유치합니다. 최악입니다.실망입니다.오점입니다.도망가세요.
9,음표 공격만 빼면 재밌었음 완다가 흑화하게 된 배경이 궁금해짐
10,간만에 먹은 팝콘이 너무 맛있어서 그냥 별 다섯
10,이블 데드 닥터 스트레인지 ㅋㅋ
9,재밋음
10,너무 재밌다 간만에 극장와서 그런가 개꿀잼..완다도 안쓰럽구 마지막에 닥터스트레인지가 크리스틴한테 대사치는데 크으 눈물남ㅠㅠ
10,태어나서 처음으로 본 마블영화인데 내용 1도 모르는 머글이지만 너무 재밌었음..ㅠㅠ
10,킹재밌음왜 별점이 이렇게 낮은 지 모르겟음!!
10,재미있다!! 도대체 왜이렇게 혹평을 하는걸까 감독에 따라 분위기가 바뀌는건 당연한 일이고 이 감독의 분위기에서 완다를 아주 잘 살린 마블의 영화다
10,너무너무 재밌음 개인적으로 마블시리즈중 상위권
10,재미씀공포영화 느낌도 나는게 신선쓰
9,자식 이기는 부모 없다...
2,이상한 느낌의 CG. 완다의 B급 호러 터널씬.. 기괴한 디멘션 탈출장면.닥스의 음표 대전투부터 마지막 엔딩스토리까지. 어느 하나 제대로 된게 없었다. 그나마 볼만한건 수십개의 멀티버스 이동장면?? 이마를 탁 치게한 영화는 오랜만이었다.
10,난 완전 존잼이였는데여
8,마블의 감성이 뭔가 달라진듯
10,4d로 봤는데 기대한 만큼 재밌었어요!!!ㅎㅎ
4,쿠키에 카사딘이 나오네용
4,"슬랩스틱과 익살스런, 코믹스스러움을 견디지 못하실 저와 같은 영화꼰대분들에겐 비추.."
9,기괴하고 예측할수없는 스토리 조아요
2,감독바꿔라감독바꿔라감독바꿔라감독바꿔라
6,그래서 이게 닥스영화인가? 이면 아니요. 닥스1을본 사람들이 만든영환가 의심이됨
1,꿀잼~입니다다1다다다
6,기대 안하고 보면 뭐..
7,기대한 만큼도 아니었고 스토리가 너무 복잡함
8,좀 잔인한거 빼고는 재밌었어요
2,예전에 어벤져스가 그립다 x_× 보는동안에 난 멀보는건지 심심해
6,1편을 넘 재밌게 봐서 그런가지루해 죽는줄 ㅜㅜ
10,개재밌구만 유치해서 그렇지
9,별로 기대안했는데 낫배드
4,A급 배우 B급 감성 CG와 배우만 일함
10,마블은 절대로 죽지 않을것다.
9,재미있구요 연출도 공포영화같아 새로웠네요근데 닥터스트레인지를 너무 너프한듯
10,차베즈빼곤 다 괜찮았던 영화
2,"실망스러움 일루미나는 또 왜나옴, 좀이상함 암튼 실망했음"
6,좀비영화인줄....
10,역대급재미있어요짱짱
10,기대치륻 낮추고 배경공부 살짝하고 관람하니 너무 재밌게봤다. 마블 전체 중 탑 6는 들수있을듯
8,호러장면들이 제일 인상이 깊었다 볼때마다 조금 무서웠음
10,최소한 마블드라마 완다비전은 봤어야 100%이해할 수 있는 영화였다.완다비전 안 보고서 내용 뭐라하지말기를..
6,마블이 망해가는구나~
10,완다 최애들은 무조건 봐야하는 영화... 마블놈들아 우리 완다 이만 행복하게 해주세요
8,너무 샘레이미 색깔이 강하다 느꼈다... 스무스하지 못한 영상 흐름이랄까... 스토리에 집중이 안됐고 마블 보면서 영상미가 아쉽다고 느낀건 처음이었던거 같다... 화려하지만 어색한 느낌이 많았다.... 다음 연출은 잘 부탁드려요... 아이언맨 1 부터 한편도 빠지지 않고 영화관에서 봤고 집에서 정주행도 몇번 하고 디플 구독까지 했는데 전의 감동을 계속 이어나가줬으면... 세대 교체든 뭐든 다 수용할 자신 있으니까... 감동 지켜주세요....
4,닥터스트레인지보다 눈에 띈 건 완다..! 영상미는 좋았어서 4점~
7,황혼에서 새벽까지 마블 버젼
4,"근데 디즈니 플러스 완다비전 드라마 시리즈 안 보고, 이 영화를 본 사람들은, 솔직히 좀 많이 지루할 수 있음."
9,굿
1,읍...읍...내입..
2,어거지 호러 넣다가 망한거같다…투자가 부족했는지아이맥스로봤는데 상대적으로역대나왔던 마블영화와비교하면씨지 티가많이나는 장면도 너무많음완다비전 보고가야 이해가 더 잘되실거임기대했던 장면은 나오지만너무 비급으로 존재감없이 사라져 오히려 팬이였다면 반발심만 생길듯추후 내용이해하기위해봄
10,캐릭터들이 입체적으로 변하는 과정을 배우들이 연기로 잘 표현해서 좋았어요. 시각적 효과도 큰 관에서 보니 멋있었고 재밌게 잘 봤습니다~
10,미술감독이 돋보임. 대사도 매력적임. 후속작이 기대됨.
8,마블코믹스가 아니라 마블호러스 였음 꿀잼!
7,재밌긴한데 혼란스럽네요
2,영화가 쫌 별로에연ㅠㅠㅠ
5,뭔 영화가 정신없기만 하고...진짜 마블이라 돈주고 봤지. 최악이었음
10,호불호가 갈린다해서 기대를 안하고봤는데 저는 기대 이상으로 너무 재밌게봤습니다 샘레이미 감독의 스타일을 확실하게 보여준 영화라고 생각합니다 어설픈 CG가 좀 아쉬웠으나 그 이외에 모든것이 완벽했다고 생각합니다 완다비전과 로키는 미리 꼭 감상하고 보시는게 재미를 더 할 것 같네요
10,와 두번째 쿠키 대박이다... 지금까지의 마블영화중 가장 엄청난 떡밥을 던지는 쿠키임 두번째 쿠키보고 영화관에서 사람들 단체로 감탄함
10,진짜 믿고 보는 마블이다같은 영화값을 내고 아깝지않음ㅠㅠ 이번에 공포영화같기도 하고 무섭기도하고 나의 힘든 고시생활에 감동
8,멀티버스와 오컬트의 조화. 제목 그대로 새로운 세계관에 대혼돈. 재미는 있는데 기존 닥터스트레인지와는 다른 영화 같네요ㅠㅠ
10,링귀신좀비 출몰쿠키영상 2개있어요
10,"재밌는데, 평점이 이상하세 낮네요"
10,입? 무슨 입?완다 사랑해요
10,스토리나 이런 부분은 전작능욕만 아니면 신경쓰지 않는 입장에서는 재미있게봤으나 몇몇분들은 호불호가 있을수 있을겁니다 그러나 그외의 액션은 재미있어서 2시간정도가 훌쩍 갔네요
10,굳굳 ㄹㅇ 완다비전 보고 봐야뎀
10,cgv온게 후회가 안되네요 정말 최고였습니다.
10,형용할 필요가 없는 영화
10,볼거리 많은 화려한 연출정말 재밌었어요!!
10,두시간 동안 엄청 행복했당♥
4,샘레이미 감독의 스파이더맨 시리즈를 소장하고 있는 입장에서 이번 작품은 호러요소에 대한 너무 과한 욕심과 빈약한 연출력에 매우 실망했습니다..보면 아실 겁니다
10,개미쳤음 진짜 존나 재밌다...
10,진짜 재밌었음. 연출이 완전 멋져서 홀린 듯이 봤음
10,킬링 타임용으로는 훌륭하지만 마블 기대치에 비해서는..
10,"혹평이 많아 걱정했지만마블 팬이라면, 스칼렛 위치 좋아하면아주 재밌게 보고 나오실수 있습니다"
10,연출 너무좋았어요.. 너무재밌게봤어요 ㅎㅎ 드림워킹 하고싶당
5,비급영화 갬성 나랑 안 맞아서 별로였고 완다 캐릭터 제발요ㅠㅠ
10,와 진짜 재미있었음 개추
8,이젠 완다만 보면 눈물 좔좔.
9,"일부장면은 유치 했지만, 샘 레이미의 닥스2, 전반적으로 재밌었어요"
7,중간에 갑툭튀 좀 있어서 재밌었어요완다 흑화는 넘 가슴 아프네여!
10,매력넘치는 완다.. 멀티버스 마블시리즈 기대하게 만드네요
10,정말 재밌었습니다^^
10,진짜 ㄹㅇ 너무 재밌어요
10,"호불호가 갈릴 수 있는 연출, 전 개인적으로 매우 만족하며 잘 봤습니다 ㅋㅋ이렇게 자기 스타일을 녹여내는 동시에 스토리를 고스란히 전달할 수 있는 감독이 또 있을까요?뒤로 가면 갈수록 폭소 터집니다! 마지막으로 가면 갈수록 영화관 박장대소 ㅋㅋㅋ"
2,싸우는 씬이 너무 너프를 먹었다
1,일루미나티 대신에 에인션트 원 이라도 나왔었으면...
10,가지고 싶어도 못가지는 것들에 대한 미련 혹은 집착.
10,역시 날 실망시키지 않았어
10,5살 쌍둥이 사진 아빠인데 펑펑 울면서 봤네요. 역대 마블 영화중 가장 재밌었습니다.
3,진짜... 샘레이미 수준... 영화가 너무 정신없고 설득력도 없고 영상미도 없다...
6,내용이 너무 산만하고 전달이 잘안됨스토리도 엉망이고 너무 유치함그리고 다른세계의 어벤저스나 찰스도 너무 억지같음
8,베네딕트 컴버배치의 닥터 스트레인지를 오랫동안 보고 싶다.
8,재밌는 연출이 많았고 호러장면들은 호불호가 갈릴 것 같다.
7,이게 마블판 공포물까지는 나름 참신하고 괜찮았는데 완다 솔로영화인지 닥스 솔로영화인지 구분이 안감...ㅣ
10,감동 연출 다잡음 역시 닥터
10,"진짜 너무 재미있어요!캡틴마블 같은 이상한 캐릭터로 페미같은 이상한거 하지 말고이렇게 진정성 있고 설득력 있게 만들면 얼마나 좋습니까?우주 최고의 파워 중 하나는 모성애입니다.완다를 볼때마다 자꾸만 울컥울컥 하네요.나에게도 저런 어머니가 있었으면 얼마나 좋았을까 하는 생각이 들더군요.영화 보는 내내 한순간도 나의 집중을 놓치지 않게 했습니다.매버릭을 상당히 기대하고 있는데 이 영화보다 더 재미 있을 수 있을까 하는 생각에 걱정이 앞서는군요.(164/1,000)"
7,다른 마블처럼 묵직한 느낌은 못 느꼈습니다. 몇몇 장면들은 조금 당황스럽기도 했어요. 완다의 연기 아주 환상적.
10,"오랜만에 평점 쓰네요^-^ 일단 영화는재밌습니다!!! 전 솔직히 예매했을때부터 평점이별로 안 좋아서 기대 않하고 가서 봤었는데 와~역시 기대를 저버리지 않더군요. 그리고 이 영화의 최대 장점은 스토리가 굉장히 탄탄하고 재밌습니다. 최대 단점은 CG가 티가 많이 납니다. 하지만 닥터 스트레인지 1과 같이 스토리가 흥미 진진해서 다음 편이 혹시 나온다면 기대해도 좋을 법 합니다. 그리고 완다가 빌런으로 나온 것도 인상적 이었고, 또 스파이더맨 노웨이 홈에서 다뤘던 멀티버스를 좀 더 구체적이게 알 수 있어서 굉장히 재미있었습니다. 솔직히 결말이 찝찝하긴 합니다만, 이런걸 예상했을땐, 아무래도 곧 있음 닥터스트레인지3도 나올것같군요.P.S 디즈니 CG 좀 작작해라."
7,넓어진 세계관은 알고싶지 않은 것까지 보여준다
10,"완다비전,로키,왓이프 보고나서 영화보세요!!별점 낮게 줄수가 없습니다!!!"
9,평점이 7점대라고? 말도 안 돼. 무슨 기대를 갖고 보러갔는지 모르겠지만 난 너무 재밌게 봤다
7,"배우들의 열연과 b급 호러장르의 결합으로 탄생한 돌연변이 마블영화영화 전반에 드러나는 샘 레이미 감독의 개성을 따라 때론 가볍게, 완다의 심정을 따라 때론 무겁게 받아들이게 되는 영화"
6,나는 음표 공격 귀엽고 재밋었는데.. ㅋ 호러무비 연출에 긴장하며 보고 있던 나에게 가벼운 웃움을 선사해준 장면
10,ㅠㅠ진짜 완다 제 최애여서도 봤는데 너무 재밌어요ㅠㅠ아 왜죽여요..
10,마블영화는 무조건 봅니다~ 닥터스트레인지2 너무 재밌어서 두번이나 봤어요~^^적극 추천합니다~^^
9,재미있었네요.
10,개인적으로 극호 한번 더 봐야지
10,마블 통틀어 제일 재밌었음 ㅋㅋ 내 취향
8,샘레이미의 이블데드 새로운 시리즈를 보는것같음막판에 절정임
10,수많은 예고편과 유튜브 영상을 봤음에도... 어벤져스 엔드게임 이후 참 오랜만인 마블의 엄청난 영화 ㅎㅎ 재밌었어요.
10,"어려운 내용을 쉽고 재미있게 잘 전달. 화려하진 않았지만, 시간내내 지루하지 않았음."
10,진짜ㅠㅠ넘 재밋게봣어요
10,꼭 너랑 보고싶었는데.
7,"연출이 선 넘기 직전, 그 아슬아슬함에 특정 장면은 약간 민망..."
2,개인적으로 유치찬란하다
10,페이즈 4 시작매우 기대
10,그냥 완다 나와서 좋았던 영화
10,엘리자베스 올슨 완전 좋아해서너무 재밌었어요완다 행복하게 해주세요
4,"재밌냐 하면, 재미 없지는 않습니다. 적어도 보면서 자지는 않았으니까.하지만 누구에게 권하겠냐 하면 못권하겠습니다. 왜냐 그렇게 재밌진 않거든요.장점1. 멀티버스로 스토리 확장의 시작지점이 될 영화2. 캐릭터의 내면적인 고통과 괴로움을 잘 표현하였음단점1. 소모되는 캐릭터성 - 앞으로의 멀티버스 캐릭터들은 저렇게 소모될 것2. OLD한 연출 (취향차이겠지만)3. 우연에 기댄 스토리텔링 부족"
